M,N,K,in_dtype,out_dtype,bias,scale_A_type,scale_B_type,B_preshuffled,cu_num,best_solution_idx,best_time_ms,err_ratio,tflops,bw_gb_s
12288,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144202,0.2065,0,631.666,736.81
1,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269324,0.0235,0,0.713,356.69
1,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270485,0.0239,0,0.788,394.41
2,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270140,0.0243,0,1.554,389.33
2,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269798,0.0235,0,1.425,357.21
4,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270440,0.0242,0,3.124,391.99
8,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270788,0.0239,0,6.312,397.38
4,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269821,0.0234,0,2.868,360.29
16,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269331,0.0232,0,13.032,413.27
8,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271247,0.0242,0,5.54,349.62
16,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271268,0.0242,0,11.102,353.7
8,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143868,0.0226,0,0.706,89.65
16,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143858,0.0231,0,1.382,89.15
16,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144278,0.0229,0,7.409,471.09
4,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144241,0.0217,0,0.193,49.84
32,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269323,0.0238,0,22.53,365.78
8,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145113,0.0225,0,0.236,30.52
16,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141112,0.0224,0,6.741,428.81
16,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,140571,0.0236,0,0.711,50.19
8,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,139821,0.0231,0,0.363,48.28
48,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,139821,0.0232,0,4.116,94.08
32,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143866,0.0225,0,13.413,434.06
16,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145047,0.0228,0,0.466,31.15
32,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144495,0.0221,0,2.876,95.7
32,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144560,0.0232,0,14.618,472.69
32,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143860,0.0231,0,0.917,32.65
64,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144475,0.023,0,26.212,438.71
48,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143869,0.0221,0,20.463,449.07
64,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145064,0.0232,0,1.834,36.62
48,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269433,0.0237,0,34.035,375.3
48,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143923,0.0219,0,1.456,36.65
32,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269324,0.0238,0,25.393,408.48
32,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145115,0.0242,0,1.384,54.41
48,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,264924,0.0235,0,38.505,418.85
64,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144456,0.0229,0,5.556,98.07
80,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269333,0.0241,0,62.529,419.64
64,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270757,0.0231,0,52.26,432.38
80,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143856,0.0229,0,32.963,448.69
80,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141146,0.0228,0,2.326,39.16
48,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144394,0.0227,0,2.215,63.98
48,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143853,0.0231,0,22.103,484.46
64,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143861,0.022,0,3.051,72.24
96,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144243,0.0224,0,4.486,82.87
96,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270492,0.0237,0,76.301,432.59
80,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144377,0.0218,0,3.845,79.05
64,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269493,0.0225,0,47.808,402.68
64,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144376,0.0223,0,30.436,508.58
80,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144380,0.0234,0,6.806,98.86
80,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144558,0.0219,0,38.779,526.81
112,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144389,0.0229,0,51.939,520.1
96,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144987,0.0236,0,38.358,442.22
112,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141063,0.0225,0,5.214,88.56
80,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269490,0.0243,0,55.27,379.17
96,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143852,0.0228,0,44.75,514.7
96,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143855,0.0234,0,2.721,40.16
96,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271229,0.0233,0,69.207,402.69
128,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270995,0.0243,0,88.41,399.31
96,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144889,0.0227,0,8.412,104.66
112,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145158,0.0222,0,10.047,110.06
112,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269322,0.0235,0,79.807,404.99
112,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144048,0.0229,0,46.233,464.21
144,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,140699,0.0231,0,12.421,111.42
112,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,266063,0.0222,0,95.158,468.69
112,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141301,0.023,0,3.238,42.96
128,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,139817,0.0217,0,55.661,496.75
128,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144380,0.0225,0,60.405,537.46
128,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143863,0.0223,0,11.418,112.33
128,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145094,0.022,0,3.868,47.01
160,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144032,0.0231,0,65.456,481.9
160,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,140633,0.0228,0,4.653,49.28
144,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143970,0.0222,0,61.339,494.18
144,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270471,0.0231,0,104.766,427.71
144,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144037,0.022,0,4.334,48.91
128,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270517,0.0237,0,101.907,445.07
128,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143867,0.0219,0,6.12,97.12
160,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143867,0.0232,0,13.741,113.72
144,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271248,0.023,0,117.954,463.96
176,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271100,0.0243,0,136.895,452.03
176,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144246,0.0229,0,72.53,492.77
160,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,264923,0.0237,0,127.362,456.74
176,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144057,0.0224,0,5.225,52.36
144,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144516,0.0228,0,6.63,99.46
144,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144932,0.0241,0,63.49,509.8
160,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144530,0.0225,0,7.452,106.61
192,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144247,0.0224,0,8.979,119.11
192,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271232,0.0236,0,153.561,470.71
160,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269484,0.0241,0,111.311,415.79
176,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143853,0.0225,0,8.189,112.5
160,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141843,0.023,0,73.92,542.21
176,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144496,0.0232,0,15.093,116.33
176,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143865,0.0224,0,83.518,565.16
208,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143862,0.0223,0,98.889,582.73
208,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144379,0.0221,0,9.885,127.16
192,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144475,0.0226,0,80.268,507.34
